date,value
2020-01-01,21894
2020-02-01,32310
2020-03-01,173759
2020-04-01,131524
2020-05-01,121917
2020-06-01,98039
2020-07-01,146247
2020-08-01,151564
2020-09-01,111169
2020-10-01,109041
2020-11-01,86699
2020-12-01,71410
2021-01-01,124160
2021-02-01,128950
2021-03-01,131759
2021-04-01,111093
2021-05-01,176348
2021-06-01,149677
2021-07-01,178979
2021-08-01,162920
2021-09-01,162662
2021-10-01,270580
2021-11-01,339502
2021-12-01,331568
