date,value
2024-01-01,204276
2024-02-01,120337
2024-03-01,172254
2024-04-01,157239
2024-05-01,256708
2024-06-01,298654
2024-07-01,310759
2024-08-01,150086
2024-09-01,150904
2024-10-01,219280
2024-11-01,197700
2024-12-01,226484
